"","Belgium"
"1996-03-01",0.00237456984741533
"1996-06-01",0.00465599983407645
"1996-09-01",0.00280539310129235
"1996-12-01",0.0116516932465073
"1997-03-01",-0.00179647361428383
"1997-06-01",0.00859815302948361
"1997-09-01",0.00284489981519111
"1997-12-01",0.00255543472119701
"1998-03-01",-0.000710404907984227
"1998-06-01",0.0112727750005113
"1998-09-01",-0.00247568510143438
"1998-12-01",0.001496430665385
"1999-03-01",0.00697808454451674
"1999-06-01",0.00336641407024596
"1999-09-01",0.00544989590351737
"1999-12-01",0.0124499487891261
"2000-03-01",0.0130426262021545
"2000-06-01",0.0102029445192013
"2000-09-01",0.0185648095555426
"2000-12-01",-0.000636053317468997
"2001-03-01",0.00198451522222623
"2001-06-01",0.0197487247286815
"2001-09-01",0.00247263451928769
"2001-12-01",0.000820515640807698
"2002-03-01",0.00849049048884599
"2002-06-01",-0.00276192617101215
"2002-09-01",0.0092075532553475
"2002-12-01",0.00218458037722426
"2003-03-01",0.0148138681743806
"2003-06-01",-0.00523395545250136
"2003-09-01",0.0105490026211513
"2003-12-01",0.000818666235534835
"2004-03-01",0.00522428243913461
"2004-06-01",0.00948042225826046
"2004-09-01",0.00942269887190126
"2004-12-01",0.0033582727959188
"2005-03-01",0.0144836940078837
"2005-06-01",0.00683736219163019
"2005-09-01",0.0123432383691904
"2005-12-01",0.00183417661473414
"2006-03-01",0.00763950282063951
"2006-06-01",0.0135586873117241
"2006-09-01",0.00326724453303455
"2006-12-01",0.00282344327147552
"2007-03-01",0.00479364311692546
"2007-06-01",0.0056076704564828
"2007-09-01",0.00626375692063218
"2007-12-01",0.0266939439605291
"2008-03-01",0.021027583966993
"2008-06-01",0.0232273697480561
"2008-09-01",0.00385894930751842
"2008-12-01",-0.0110056344539422
"2009-03-01",-0.00735672396026468
"2009-06-01",0.000610522722662521
"2009-09-01",0.00362045593796416
"2009-12-01",0.00724379705300934
"2010-03-01",0.0141714850908623
"2010-06-01",0.00896085145713056
"2010-09-01",0.00640671050881076
"2010-12-01",0.0122295203033984
"2011-03-01",0.0141574083656628
"2011-06-01",0.01059945534253
"2011-09-01",0.00670300222847093
"2011-12-01",0.0118959137514239
"2012-03-01",0.0128716703210202
"2012-06-01",-0.00118093864212071
"2012-09-01",0.0118837859974289
"2012-12-01",0.00489455062694479
"2013-03-01",0.00473454747199753
"2013-06-01",0.000249594822739628
"2013-09-01",0.00405070570470254
"2013-12-01",0.00593845548599204
"2014-03-01",-0.000441803500429331
"2014-06-01",-0.00238925457615492
"2014-09-01",-0.00111795448288797
"2014-12-01",-0.00228415696836699
"2015-03-01",0.00356025816574986
"2015-06-01",0.0109889424063723
"2015-09-01",0.000349651549873147
"2015-12-01",0.00545911267630686
"2016-03-01",0.00661785560733419
"2016-06-01",0.0138055938504599
"2016-09-01",0.000388844700386083
"2016-12-01",0.0105341076126937
"2017-03-01",0.00955285456345208
"2017-06-01",-0.000700041791902489
"2017-09-01",0.00560584243073926
"2017-12-01",0.0116831928937074
"2018-03-01",0.00164354505634456
"2018-06-01",0.0141982881562821
"2018-09-01",0.00819800699548973
"2018-12-01",0.00347514622713234
"2019-03-01",0.00154219511045243
"2019-06-01",0.00237951186051228
"2019-09-01",-0.00122273640643726
"2019-12-01",0.00739062199122362
"2020-03-01",-0.00369681386813627
"2020-06-01",0.00130528917481897
"2020-09-01",0.00255489363081965
"2020-12-01",0.00601668958777546
"2021-03-01",0.0123414878792866
"2021-06-01",0.0136471992830497
"2021-09-01",0.0171959703995341
"2021-12-01",0.0425469354408343
"2022-03-01",0.0464887673015464
"2022-06-01",0.0301376981348774
"2022-09-01",0.0360839370199115
"2022-12-01",0.0188949562732289
"2023-03-01",-0.0197815007398026
"2023-06-01",-0.0140076623964162
"2023-09-01",0.0222150589271942
"2023-12-01",0.0166354965022751
"2024-03-01",0.024243081236882
"2024-06-01",0.006025453190895
"2024-09-01",0.00894019593885358
"2024-12-01",0.0180061409186762
"2025-02-01",0.0175394036421608
