"","Cyprus"
"1996-03-01",0.0081273224114017
"1996-06-01",0.00332699440560724
"1996-09-01",0.0033941682531748
"1996-12-01",0.0129619498546717
"1997-03-01",0.0260589418116617
"1997-06-01",-0.00527155313457675
"1997-09-01",0.00958813334627463
"1997-12-01",0.0200855523385928
"1998-03-01",-0.00398369964692742
"1998-06-01",0.0175669683948908
"1998-09-01",0.0177093170635982
"1998-12-01",-0.020223482271671
"1999-03-01",0.00274276241728447
"1999-06-01",0.00318025125444078
"1999-09-01",0.0167446418839555
"1999-12-01",0.0247818370719006
"2000-03-01",0.0244406570651836
"2000-06-01",0.00325733849100183
"2000-09-01",0.00864277511773253
"2000-12-01",0.0126198448512833
"2001-03-01",-0.00387949066185323
"2001-06-01",0.0217856873337401
"2001-09-01",-0.00305195480185106
"2001-12-01",0.0129728281003775
"2002-03-01",-0.00510650315593155
"2002-06-01",0.0223747078690911
"2002-09-01",0.0150578535992113
"2002-12-01",0.00854244909538525
"2003-03-01",0.03674995339654
"2003-06-01",-0.0128587084970616
"2003-09-01",0.0108397012685128
"2003-12-01",-0.00452141261989918
"2004-03-01",0.00804221977223583
"2004-06-01",0.0180974161753514
"2004-09-01",0.00222381147717964
"2004-12-01",0.0235291427863476
"2005-03-01",-0.00972754440371062
"2005-06-01",0.00488106889806856
"2005-09-01",0.0115466212590255
"2005-12-01",0.0148420674336068
"2006-03-01",0.00449796759399961
"2006-06-01",0.00385755241335155
"2006-09-01",0.00665045698838397
"2006-12-01",0.00427891495050252
"2007-03-01",0.00247620731277614
"2007-06-01",0.00803507470009607
"2007-09-01",0.0153413179240187
"2007-12-01",0.0260093721991226
"2008-03-01",0.00948627570123082
"2008-06-01",0.0162454157131556
"2008-09-01",0.0147055220708294
"2008-12-01",-0.0134123795384903
"2009-03-01",-0.00293664961178007
"2009-06-01",0.00429963507719668
"2009-09-01",-0.00286398905252286
"2009-12-01",0.0238794570790068
"2010-03-01",0.00482192129758066
"2010-06-01",0.000739831696492561
"2010-09-01",0.0181363590300591
"2010-12-01",0.00606828332944165
"2011-03-01",0.0189490978815496
"2011-06-01",0.0156473877668668
"2011-09-01",-0.00751213779485239
"2011-12-01",0.0283203396075795
"2012-03-01",0.00906862440887859
"2012-06-01",0.00609541440418895
"2012-09-01",0.00176558897297602
"2012-12-01",0.00360369115207277
"2013-03-01",0.00631725055201128
"2013-06-01",-0.00202765188323187
"2013-09-01",-0.00543874587558423
"2013-12-01",-0.0139400381770533
"2014-03-01",0.0118471805841301
"2014-06-01",0.00884014075991255
"2014-09-01",-0.00763425973786751
"2014-12-01",-0.0232510237541824
"2015-03-01",0.00522110474928617
"2015-06-01",-0.00270725599266012
"2015-09-01",-0.00497149115473731
"2015-12-01",-0.00403567462829407
"2016-03-01",-0.0153052369911841
"2016-06-01",0.00106150460773484
"2016-09-01",0.0139589351573904
"2016-12-01",0.00207440037630095
"2017-03-01",0.00462374118248247
"2017-06-01",-0.00732661669813495
"2017-09-01",0.00288102376412622
"2017-12-01",-0.00363338920757799
"2018-03-01",0.00439510222468459
"2018-06-01",0.0206968618715511
"2018-09-01",0.00276269212739178
"2018-12-01",-0.0112151419431851
"2019-03-01",0.00343580015867118
"2019-06-01",0.0114325011328595
"2019-09-01",-0.00708080027068908
"2019-12-01",0.00241835108523718
"2020-03-01",-0.00292646944863392
"2020-06-01",-0.0199052546955015
"2020-09-01",-0.00345226681655469
"2020-12-01",0.0179068283445459
"2021-03-01",0.0120500212440318
"2021-06-01",0.0044983297083221
"2021-09-01",0.0130012872641265
"2021-12-01",0.0333426476493654
"2022-03-01",0.0302343228347045
"2022-06-01",0.0409380392179761
"2022-09-01",0.0126513794486672
"2022-12-01",0.0160634876448005
"2023-03-01",0.0134026791435596
"2023-06-01",-0.00419555934738599
"2023-09-01",0.0310572419006541
"2023-12-01",-0.0102336485928523
"2024-03-01",0.0104092269750543
"2024-06-01",0.0142254107027487
"2024-09-01",0.0100255053334124
"2024-12-01",0.00673118892905609
"2025-02-01",-0.00847588232480439
