"","France","t"
"1996-03-01",0.00936262108926516,1
"1996-06-01",0.00259265234258633,2
"1996-09-01",0.00260580755473885,3
"1996-12-01",0.00681262713295763,4
"1997-03-01",0.00269023838210112,5
"1997-06-01",-0.000100251041809757,6
"1997-09-01",0.00927353961844482,7
"1997-12-01",0.00282353872670864,8
"1998-03-01",-0.00132227302409175,9
"1998-06-01",0.00251492154632017,10
"1998-09-01",0.00261858742064043,11
"1998-12-01",0.000177369820703456,12
"1999-03-01",0.001352620740667,13
"1999-06-01",0.0024600513132842,14
"1999-09-01",0.00533517593568535,15
"1999-12-01",0.0108857217836574,16
"2000-03-01",0.0040263091573099,17
"2000-06-01",0.0050766453028146,18
"2000-09-01",0.0107331089605094,19
"2000-12-01",0.00290342338101247,20
"2001-03-01",0.00128368486657324,21
"2001-06-01",0.0144162111986051,22
"2001-09-01",0.00414676092438007,23
"2001-12-01",0.000253847522066411,24
"2002-03-01",0.00928744857086965,25
"2002-06-01",0.00500305452865964,26
"2002-09-01",0.00823403745831375,27
"2002-12-01",0.00557201992085475,28
"2003-03-01",0.0146299792379982,29
"2003-06-01",-0.0030293602913343,30
"2003-09-01",0.0123396712017072,31
"2003-12-01",0.0068708865938194,32
"2004-03-01",0.00924538336528977,33
"2004-06-01",0.00757235530906047,34
"2004-09-01",0.00578303414537484,35
"2004-12-01",0.00681753344155754,36
"2005-03-01",0.00652001013140288,37
"2005-06-01",0.00344756755423618,38
"2005-09-01",0.012593210037861,39
"2005-12-01",8.58590954618704e-05,40
"2006-03-01",0.00527398899452294,41
"2006-06-01",0.0086809327059794,42
"2006-09-01",0.00342007208847701,43
"2006-12-01",0.00265044720884103,44
"2007-03-01",-7.38822167293436e-05,45
"2007-06-01",0.00993466075137855,46
"2007-09-01",0.00759721815812595,47
"2007-12-01",0.0186592139882181,48
"2008-03-01",0.00931307988883624,49
"2008-06-01",0.0166175138898481,50
"2008-09-01",-0.0002288909384132,51
"2008-12-01",-0.0108040653382955,52
"2009-03-01",-0.00144928418626214,53
"2009-06-01",0.0031747060915958,54
"2009-09-01",0.00384842061279639,55
"2009-12-01",0.00903300131311861,56
"2010-03-01",0.00790019977637476,57
"2010-06-01",0.00320737724841173,58
"2010-09-01",0.0053399141494857,59
"2010-12-01",0.0102518048694162,60
"2011-03-01",0.0105465806162785,61
"2011-06-01",0.00589179160274819,62
"2011-09-01",0.00675660235787429,63
"2011-12-01",0.014202304844045,64
"2012-03-01",0.0091860639743678,65
"2012-06-01",0.000510948019687694,66
"2012-09-01",0.00416623698576396,67
"2012-12-01",0.00609109923209822,68
"2013-03-01",0.00247280743366786,69
"2013-06-01",-0.000897963519226163,70
"2013-09-01",0.00428047135532124,71
"2013-12-01",0.0047421185232619,72
"2014-03-01",0.00249235219337782,73
"2014-06-01",-0.00233752291673977,74
"2014-09-01",0.00171545847945992,75
"2014-12-01",-0.000584413076240997,76
"2015-03-01",0.00107671299334041,77
"2015-06-01",0.00152627696094029,78
"2015-09-01",-0.00082506980038957,79
"2015-12-01",0.00208226892517547,80
"2016-03-01",-0.00422359877222704,81
"2016-06-01",0.00675876629751629,82
"2016-09-01",0.00194959864465073,83
"2016-12-01",0.0047708968732609,84
"2017-03-01",0.00387579527757809,85
"2017-06-01",-0.00136016753424496,86
"2017-09-01",0.00602159886793959,87
"2017-12-01",0.00882082229759793,88
"2018-03-01",0.00920593483437978,89
"2018-06-01",0.00653226465112523,90
"2018-09-01",0.00881346310857353,91
"2018-12-01",0.00084175575811322,92
"2019-03-01",0.00112470117293691,93
"2019-06-01",0.00774318731573974,94
"2019-09-01",0.00492772088866345,95
"2019-12-01",0.00753556435585398,96
"2020-03-01",-0.00952330297918472,97
"2020-06-01",0.000932548036549127,98
"2020-09-01",0.00240742355176353,99
"2020-12-01",0.0062692035055076,100
"2021-03-01",0.00907601919756133,101
"2021-06-01",0.0061880200059915,102
"2021-09-01",0.0145703912000913,103
"2021-12-01",0.0144047709631824,104
"2022-03-01",0.0320278386941033,105
"2022-06-01",0.0263840417707954,106
"2022-09-01",0.0106226254563056,107
"2022-12-01",0.0211294945308314,108
"2023-03-01",0.0293437079027763,109
"2023-06-01",0.00736871542336699,110
"2023-09-01",0.0132307742700828,111
"2023-12-01",0.00237226355571158,112
"2024-03-01",0.00768166424405,113
"2024-06-01",0.00867345891313528,114
"2024-09-01",-0.000124310466804379,115
"2024-12-01",0.00634739260270012,116
"2025-02-01",-0.00560292012835039,117
