"","Germany","t"
"1996-03-01",0.00516687502737194,1
"1996-06-01",0.00430498435586576,2
"1996-09-01",0.00486998808818828,3
"1996-12-01",0.00471129516193006,4
"1997-03-01",0.00626591282310972,5
"1997-06-01",0.00419214543110711,6
"1997-09-01",0.00366791183299264,7
"1997-12-01",0.00333181812831904,8
"1998-03-01",0.00120935044685663,9
"1998-06-01",0.00231368167660768,10
"1998-09-01",0.000904973176794077,11
"1998-12-01",0.000476480236650399,12
"1999-03-01",0.00274411403469287,13
"1999-06-01",0.00327037557821136,14
"1999-09-01",0.00409763629289088,15
"1999-12-01",0.0046883118660042,16
"2000-03-01",0.00552783729050404,17
"2000-06-01",0.00507990686038446,18
"2000-09-01",0.00676285958758189,19
"2000-12-01",0.00774748660402115,20
"2001-03-01",0.00527370451170035,21
"2001-06-01",0.00792311467563569,22
"2001-09-01",0.00421233857192231,23
"2001-12-01",0.00507410179288726,24
"2002-03-01",0.00479559842693993,25
"2002-06-01",0.00326289912389273,26
"2002-09-01",0.00414048302251454,27
"2002-12-01",0.00381653247667145,28
"2003-03-01",0.00421272684755807,29
"2003-06-01",0.00280220033029023,30
"2003-09-01",0.00446034895428482,31
"2003-12-01",0.00542837202469959,32
"2004-03-01",0.00629784858117292,33
"2004-06-01",0.00713878625255173,34
"2004-09-01",0.00510505471509765,35
"2004-12-01",0.00732419029199626,36
"2005-03-01",0.00658714392682047,37
"2005-06-01",0.00680232620963016,38
"2005-09-01",0.00856904863235313,39
"2005-12-01",0.00517131151447887,40
"2006-03-01",0.00360387191905989,41
"2006-06-01",0.00482103686809281,42
"2006-09-01",0.00335686110082033,43
"2006-12-01",0.00677997935661531,44
"2007-03-01",0.00828366845248741,45
"2007-06-01",0.00975054101055211,46
"2007-09-01",0.0114006184013138,47
"2007-12-01",0.0131040705771997,48
"2008-03-01",0.0102151620062234,49
"2008-06-01",0.00735040335974191,50
"2008-09-01",0.00372283736450417,51
"2008-12-01",-0.00142931826329499,52
"2009-03-01",-0.000228966784717556,53
"2009-06-01",0.00121590432300232,54
"2009-09-01",0.00120174478196215,55
"2009-12-01",0.00404210964896254,56
"2010-03-01",0.00334271345342451,57
"2010-06-01",0.00473176053870669,58
"2010-09-01",0.0058467118742419,59
"2010-12-01",0.00894648836554531,60
"2011-03-01",0.00828285199856838,61
"2011-06-01",0.0077557257309763,62
"2011-09-01",0.00745499348296236,63
"2011-12-01",0.00670001103684735,64
"2012-03-01",0.00725272786772845,65
"2012-06-01",0.0055170373043297,66
"2012-09-01",0.00726481585795884,67
"2012-12-01",0.00622281337474959,68
"2013-03-01",0.0057424725894588,69
"2013-06-01",0.00396920803787831,70
"2013-09-01",0.00344713844514628,71
"2013-12-01",0.00324163556973309,72
"2014-03-01",0.00162407630357662,73
"2014-06-01",0.00124061850058901,74
"2014-09-01",0.00201187080232281,75
"2014-12-01",0.00152142289307971,76
"2015-03-01",0.00226200344902249,77
"2015-06-01",0.00258715956175532,78
"2015-09-01",0.000397643712202957,79
"2015-12-01",-0.000886477657501387,80
"2016-03-01",0.00187636172177816,81
"2016-06-01",0.00341956385822617,82
"2016-09-01",0.0047860517497238,83
"2016-12-01",0.00613793459088972,84
"2017-03-01",0.00511790896007813,85
"2017-06-01",0.00604758439079492,86
"2017-09-01",0.00614869346444769,87
"2017-12-01",0.00582675869100883,88
"2018-03-01",0.00687839079222452,89
"2018-06-01",0.00713730520127981,90
"2018-09-01",0.00696722928420665,91
"2018-12-01",0.00352937923367535,92
"2019-03-01",0.0045926563094905,93
"2019-06-01",0.00635156840761535,94
"2019-09-01",0.00463347964311581,95
"2019-12-01",0.00407410656841935,96
"2020-03-01",0.000357084203446893,97
"2020-06-01",0.002108904213886,98
"2020-09-01",-0.00205266937845853,99
"2020-12-01",-2.39313184690667e-05,100
"2021-03-01",0.01966692344603,101
"2021-06-01",0.0167402353139036,102
"2021-09-01",0.0185786016441607,103
"2021-12-01",0.0201413518278445,104
"2022-03-01",0.048897050200606,105
"2022-06-01",0.0199564908696533,106
"2022-09-01",0.045123430426821,107
"2022-12-01",0.0172728193037537,108
"2023-03-01",0.0224194729152166,109
"2023-06-01",0.00766343359363254,110
"2023-09-01",0.00972673620449559,111
"2023-12-01",0.00612688820583621,112
"2024-03-01",0.00768573753005127,113
"2024-06-01",0.00762251162140901,114
"2024-09-01",0.00544951799670447,115
"2024-12-01",0.00725411108514942,116
"2025-02-01",0.00543411784837619,117
