"","Ireland"
"1996-03-01",0.00890230235720472
"1996-06-01",0.00447635555682348
"1996-09-01",0.0117229575729025
"1996-12-01",0.00786772494688957
"1997-03-01",-0.00294935677221362
"1997-06-01",-0.0013411932701295
"1997-09-01",0.0053438178886434
"1997-12-01",0.00998106530967269
"1998-03-01",0.00723269956614428
"1998-06-01",0.0108352994911941
"1998-09-01",0.00764056324530422
"1998-12-01",0.00457213602745388
"1999-03-01",0.00468318822925142
"1999-06-01",0.012684606896607
"1999-09-01",0.0159126208119343
"1999-12-01",0.0187880269680546
"2000-03-01",0.0178501811647094
"2000-06-01",0.0201918482791866
"2000-09-01",0.0157943800891856
"2000-12-01",0.0099430591020873
"2001-03-01",0.0110434728707836
"2001-06-01",0.0178990886900388
"2001-09-01",0.0133738491550503
"2001-12-01",0.0158696976455419
"2002-03-01",0.0175351204543306
"2002-06-01",0.0138112498849853
"2002-09-01",0.011322485897816
"2002-12-01",0.0188084696166105
"2003-03-01",0.0174580234154798
"2003-06-01",0.00508377611915976
"2003-09-01",0.00795983892955767
"2003-12-01",0.00971550781594893
"2004-03-01",0.00560869543245677
"2004-06-01",0.00666246482790486
"2004-09-01",0.00924105382812633
"2004-12-01",0.00701671018318997
"2005-03-01",0.00168689135043206
"2005-06-01",0.00992104682850916
"2005-09-01",0.0138325090120253
"2005-12-01",0.00395312766338229
"2006-03-01",0.00777985218965298
"2006-06-01",0.0104539037828944
"2006-09-01",0.00896552060730779
"2006-12-01",0.00959062739946281
"2007-03-01",0.00970366482680481
"2007-06-01",0.00812489332661444
"2007-09-01",0.00992021764888945
"2007-12-01",0.0140590723607572
"2008-03-01",0.0160048400446019
"2008-06-01",0.0104278357150405
"2008-09-01",0.000237328921527595
"2008-12-01",-0.00937576065837201
"2009-03-01",-0.0109131573700701
"2009-06-01",-0.00850633942728822
"2009-09-01",-0.00852792558598616
"2009-12-01",-0.00763449817635134
"2010-03-01",-0.00733410180200596
"2010-06-01",-0.0026107302255257
"2010-09-01",0.00228163630144976
"2010-12-01",0.00672690556977342
"2011-03-01",0.00695304075763389
"2011-06-01",0.000165878676265078
"2011-09-01",0.00278235582106607
"2011-12-01",0.0104236158865715
"2012-03-01",0.0122911640984677
"2012-06-01",0.00132606056131499
"2012-09-01",0.00593134686062412
"2012-12-01",0.00277566236092054
"2013-03-01",0.000416054208216474
"2013-06-01",-0.00248428012554324
"2013-09-01",0.00142814407936434
"2013-12-01",0.0031684139015468
"2014-03-01",0.00154598333864119
"2014-06-01",0.000251358847662846
"2014-09-01",0.000142153513480845
"2014-12-01",-0.00442690389610336
"2015-03-01",0.00222341628647407
"2015-06-01",0.00495805753725439
"2015-09-01",-0.00148688293546631
"2015-12-01",-0.00605152380974756
"2016-03-01",-0.0018612166102955
"2016-06-01",0.00792343465269839
"2016-09-01",-0.00288626300506767
"2016-12-01",-0.00368015292537903
"2017-03-01",0.00222154286320397
"2017-06-01",0.000822548755006117
"2017-09-01",0.00145523590073168
"2017-12-01",0.00189126076023843
"2018-03-01",0.00265593284720189
"2018-06-01",0.00410821413087366
"2018-09-01",0.00538586553280414
"2018-12-01",0.000236792726677372
"2019-03-01",0.00433204271709253
"2019-06-01",0.00352690310223361
"2019-09-01",0.00236900454124289
"2019-12-01",0.00251980698863565
"2020-03-01",-0.00214438210145536
"2020-06-01",-0.0103551073956588
"2020-09-01",-0.00588747639282308
"2020-12-01",0.00545997858261528
"2021-03-01",0.0116731112301701
"2021-06-01",0.0111255746237897
"2021-09-01",0.0222978473864211
"2021-12-01",0.0298336619637219
"2022-03-01",0.0338842166400156
"2022-06-01",0.0335689062211909
"2022-09-01",0.0191936627363274
"2022-12-01",0.0189236869719133
"2023-03-01",0.0163858707530609
"2023-06-01",0.0142784399931489
"2023-09-01",0.0128632284369054
"2023-12-01",0.00139784557398109
"2024-03-01",-0.00117298377674308
"2024-06-01",0.00400406010321615
"2024-09-01",0.00174715561091774
"2024-12-01",0.00713549727383075
"2025-02-01",0.00280562709561862
