"","Italy"
"1996-03-01",0.00866657814018588
"1996-06-01",0.0079961400160824
"1996-09-01",0.00644544652150379
"1996-12-01",0.00544452985408806
"1997-03-01",0.00558029673340501
"1997-06-01",0.00306379841793842
"1997-09-01",0.00511640295649929
"1997-12-01",0.00900109098031
"1998-03-01",0.00769377650870824
"1998-06-01",0.00405235845694472
"1998-09-01",0.00619390904129141
"1998-12-01",0.003034542885375
"1999-03-01",0.00650147596441698
"1999-06-01",0.00394337641266027
"1999-09-01",0.00958789634789644
"1999-12-01",0.00677462930995803
"2000-03-01",0.00965358985928984
"2000-06-01",0.00603573458254156
"2000-09-01",0.00949714395196962
"2000-12-01",0.00898523022326084
"2001-03-01",0.00640229233222019
"2001-06-01",0.010917310914131
"2001-09-01",0.00555463557720547
"2001-12-01",0.00954748905727346
"2002-03-01",0.00952478667909658
"2002-06-01",0.00952263621320983
"2002-09-01",0.00989245725621124
"2002-12-01",0.0113080958267054
"2003-03-01",0.0103966295229332
"2003-06-01",0.0080283629247849
"2003-09-01",0.00951542311195528
"2003-12-01",0.00779007355553795
"2004-03-01",0.00612276438681186
"2004-06-01",0.00800512456339754
"2004-09-01",0.00787689943168103
"2004-12-01",0.00792030824645007
"2005-03-01",0.00730487124758999
"2005-06-01",0.00739301918330231
"2005-09-01",0.00626733708892194
"2005-12-01",0.00673179492977764
"2006-03-01",0.00879391102652303
"2006-06-01",0.00792937909587986
"2006-09-01",0.00728474042072938
"2006-12-01",0.0049778572139866
"2007-03-01",0.00520442763517413
"2007-06-01",0.00809988308753654
"2007-09-01",0.00926679612462005
"2007-12-01",0.015324713780045
"2008-03-01",0.0132042155652919
"2008-06-01",0.012230483886552
"2008-09-01",0.00572715238058044
"2008-12-01",0.000735405138879934
"2009-03-01",4.17129921971657e-05
"2009-06-01",0.00413428613517287
"2009-09-01",0.00376539501725732
"2009-12-01",0.00607583084393929
"2010-03-01",0.00412412669504452
"2010-06-01",0.00699528916736652
"2010-09-01",0.00675808560359574
"2010-12-01",0.0100640322096125
"2011-03-01",0.0137214459359967
"2011-06-01",0.0112832971036777
"2011-09-01",0.0105523452937877
"2011-12-01",0.0114175244619533
"2012-03-01",0.0106517316172704
"2012-06-01",0.00909496272613245
"2012-09-01",0.00893501699246079
"2012-12-01",0.00493759266405749
"2013-03-01",0.00416800705694685
"2013-06-01",0.00147463393442647
"2013-09-01",0.00322496297265433
"2013-12-01",-0.00039844861046428
"2014-03-01",0.000456968817890898
"2014-06-01",7.5925948699423e-05
"2014-09-01",-0.00100465286708437
"2014-12-01",0.00145559418466259
"2015-03-01",-4.13176227939136e-05
"2015-06-01",0.00110511964924436
"2015-09-01",0.000612816717485512
"2015-12-01",-0.000924231303881004
"2016-03-01",-0.00414197566766953
"2016-06-01",0.00161948619609743
"2016-09-01",0.00109986629461823
"2016-12-01",0.00241677893834912
"2017-03-01",0.00760282649132801
"2017-06-01",0.00133129505773168
"2017-09-01",0.00284150489844412
"2017-12-01",0.00393238158319478
"2018-03-01",0.00343641795809779
"2018-06-01",0.00598858085013055
"2018-09-01",0.00646796479277573
"2018-12-01",0.000649231198133315
"2019-03-01",0.00448142902934856
"2019-06-01",0.00229862004105836
"2019-09-01",0.000765684281272805
"2019-12-01",-0.000718323479925692
"2020-03-01",-0.00264916918548254
"2020-06-01",-0.00240111814075986
"2020-09-01",-0.00339962769890204
"2020-12-01",0.00561425647389757
"2021-03-01",0.0098330820683741
"2021-06-01",0.00891400867635005
"2021-09-01",0.0148944688715883
"2021-12-01",0.0217183932407764
"2022-03-01",0.0514510736352913
"2022-06-01",0.0239780271666276
"2022-09-01",0.0193379113741504
"2022-12-01",0.0611625968020349
"2023-03-01",0.00328832793307344
"2023-06-01",0.00580389288556812
"2023-09-01",0.00347145765426227
"2023-12-01",-0.000506239015197721
"2024-03-01",0.00438702719622616
"2024-06-01",0.00347698026330072
"2024-09-01",0.0041421409839979
"2024-12-01",0.00280587394809572
"2025-02-01",-0.00192885035935963
