"","Latvia"
"1996-03-01",0.03186327230959
"1996-06-01",0.0306305513709005
"1996-09-01",0.0241469680224134
"1996-12-01",0.0306328099826772
"1997-03-01",0.0266219876382791
"1997-06-01",0.0169751790956435
"1997-09-01",0.0224983873447911
"1997-12-01",0.0158935082450226
"1998-03-01",0.0134155882126386
"1998-06-01",0.0139693585451559
"1998-09-01",0.00347507133714057
"1998-12-01",0.00543425295188965
"1999-03-01",0.00440538347609725
"1999-06-01",0.00978875527249204
"1999-09-01",0.00810327573349695
"1999-12-01",0.0179486792909
"2000-03-01",0.00732443111304595
"2000-06-01",0.00029987198939379
"2000-09-01",0.00608881686892202
"2000-12-01",0.0108425260878385
"2001-03-01",0.00327449555216488
"2001-06-01",0.0216193423200962
"2001-09-01",0.00907807120229188
"2001-12-01",0.00672342130745702
"2002-03-01",0.00424831981118276
"2002-06-01",-0.00660992230625895
"2002-09-01",0.0123260350932936
"2002-12-01",0.0134856414777407
"2003-03-01",0.0117226806347332
"2003-06-01",0.0117750336265374
"2003-09-01",0.00373546469241137
"2003-12-01",0.0193745249487434
"2004-03-01",0.0291018026661211
"2004-06-01",0.0287617626778034
"2004-09-01",0.0211772945731637
"2004-12-01",0.0185556916414692
"2005-03-01",0.0182363941813987
"2005-06-01",0.0272193559111501
"2005-09-01",0.0317175293373734
"2005-12-01",0.0159016421510732
"2006-03-01",0.0111173362484434
"2006-06-01",0.0247261306444971
"2006-09-01",0.0269025060757394
"2006-12-01",0.0277492583931701
"2007-03-01",0.032031908781218
"2007-06-01",0.029293492483614
"2007-09-01",0.0580988242612708
"2007-12-01",0.0603042611613288
"2008-03-01",0.061414572835387
"2008-06-01",0.039788217240399
"2008-09-01",0.025646126247604
"2008-12-01",0.00710942411344056
"2009-03-01",0.0319092854112706
"2009-06-01",-0.0230265733067386
"2009-09-01",-0.0127464746322577
"2009-12-01",-0.0123809118294178
"2010-03-01",-0.00415469198546864
"2010-06-01",0.00952943281629333
"2010-09-01",0.0111879614783735
"2010-12-01",0.0165771876567372
"2011-03-01",0.0181300549091037
"2011-06-01",0.0156685071042375
"2011-09-01",0.00876159968759882
"2011-12-01",0.00826690035082314
"2012-03-01",0.00943300098161759
"2012-06-01",0.00159682849280592
"2012-09-01",0.00746572551581592
"2012-12-01",0.00400081838623685
"2013-03-01",-0.00865163916612407
"2013-06-01",0.000976638330263156
"2013-09-01",-0.0015817436469625
"2013-12-01",0.00394347634182883
"2014-03-01",0.00241961958180526
"2014-06-01",0.00571199708439206
"2014-09-01",0.0053548503091286
"2014-12-01",-0.00805006417328692
"2015-03-01",0.00675290181181477
"2015-06-01",0.0081365306208244
"2015-09-01",-0.00898038649056572
"2015-12-01",0.000699319412309179
"2016-03-01",-0.00767284030552018
"2016-06-01",0.00723507820800053
"2016-09-01",0.00524982705882211
"2016-12-01",0.0229924116743664
"2017-03-01",0.00848908847220428
"2017-06-01",0.00519411263063457
"2017-09-01",0.00333120543804207
"2017-12-01",0.0127376219662868
"2018-03-01",0.00811789839904491
"2018-06-01",0.0124110172360397
"2018-09-01",0.00888372410051827
"2018-12-01",0.00429793982289426
"2019-03-01",0.00913773223966312
"2019-06-01",0.0172996884874241
"2019-09-01",-0.00177695249466168
"2019-12-01",0.00235971783862636
"2020-03-01",-0.000578772497410125
"2020-06-01",-0.0136661038328479
"2020-09-01",0.00603350383469818
"2020-12-01",0.00302212472286077
"2021-03-01",0.00992023540969653
"2021-06-01",0.0194048525319912
"2021-09-01",0.0316467164578433
"2021-12-01",0.044204400139189
"2022-03-01",0.056167120272848
"2022-06-01",0.115217698620539
"2022-09-01",0.0621702652475666
"2022-12-01",0.0296450888819993
"2023-03-01",0.0135590661202855
"2023-06-01",0.00257230700374434
"2023-09-01",0.00372329744223922
"2023-12-01",-0.00634066428920671
"2024-03-01",0.0158829108811535
"2024-06-01",0.00835514255961646
"2024-09-01",0.00530829691985801
"2024-12-01",0.0159120534283465
"2025-02-01",0.00381488527897117
