"","Lithuania"
"1996-03-01",0.0542526030596165
"1996-06-01",0.0403821404905713
"1996-09-01",0.0234500243605994
"1996-12-01",0.0374210277362045
"1997-03-01",0.035043909686066
"1997-06-01",0.0188279870485273
"1997-09-01",0.0296054689735804
"1997-12-01",0.0250149146646537
"1998-03-01",0.0130913404825504
"1998-06-01",0.0072560174798597
"1998-09-01",0.00647478288537343
"1998-12-01",0.00961304489938505
"1999-03-01",0.00422293704217753
"1999-06-01",0.00151348138945161
"1999-09-01",0.0095134305849885
"1999-12-01",-0.00697444029149379
"2000-03-01",0.0116202871403749
"2000-06-01",0.00338950709859327
"2000-09-01",-0.00148582227330668
"2000-12-01",0.00771147431760535
"2001-03-01",0.00352936347287866
"2001-06-01",0.0178668811981649
"2001-09-01",0.00442148439457662
"2001-12-01",0.00294587336470069
"2002-03-01",-0.00205011713287035
"2002-06-01",-0.0109973444377264
"2002-09-01",-0.00821823723779089
"2002-12-01",0.00956605267869393
"2003-03-01",-0.00284422956544118
"2003-06-01",-0.00167714034512405
"2003-09-01",-0.0137712578387989
"2003-12-01",0.00322796806800092
"2004-03-01",0.00163747044238269
"2004-06-01",0.0227696444698494
"2004-09-01",0.0108761046951051
"2004-12-01",0.000970114344170795
"2005-03-01",0.00850149929976632
"2005-06-01",0.00727698555793083
"2005-09-01",0.0174510780074732
"2005-12-01",0.00822642646490759
"2006-03-01",0.00782807821719181
"2006-06-01",0.016651685141796
"2006-09-01",0.0102081476327862
"2006-12-01",0.0262309804149235
"2007-03-01",0.0087752516712715
"2007-06-01",0.0221137842798032
"2007-09-01",0.0372124467606965
"2007-12-01",0.0427724954020204
"2008-03-01",0.0465096102340924
"2008-06-01",0.0365755458479962
"2008-09-01",0.0211213916263334
"2008-12-01",0.00834531476917901
"2009-03-01",0.0289713910785614
"2009-06-01",-0.00765349968678885
"2009-09-01",0.00060127983569123
"2009-12-01",-0.00381648039624757
"2010-03-01",0.00909542469847069
"2010-06-01",0.00747230702739125
"2010-09-01",0.0105765146446695
"2010-12-01",0.0207528951489871
"2011-03-01",0.0118301588468738
"2011-06-01",0.0210251462564964
"2011-09-01",0.00699393704023253
"2011-12-01",0.00547845125429781
"2012-03-01",0.0173305380568615
"2012-06-01",0.00667779958962841
"2012-09-01",0.0151890563932467
"2012-12-01",-0.000978741610416869
"2013-03-01",0.000122838863453409
"2013-06-01",0.000618941583233744
"2013-09-01",0.00414916617813502
"2013-12-01",-0.00166056800931221
"2014-03-01",0.0016036657504955
"2014-06-01",-0.000496705968651995
"2014-09-01",0.000961258849805092
"2014-12-01",-0.00404338483128718
"2015-03-01",-0.0108434934684906
"2015-06-01",0.00959085990225555
"2015-09-01",-0.00600513305180909
"2015-12-01",0.00267281446628209
"2016-03-01",0.002563029945558
"2016-06-01",0.00474040724111287
"2016-09-01",-0.000257991930317374
"2016-12-01",0.0195369564514668
"2017-03-01",0.0185246351275596
"2017-06-01",0.00925213688093846
"2017-09-01",0.0124308748628488
"2017-12-01",0.0093745051585952
"2018-03-01",0.00111183865610419
"2018-06-01",0.0108120875983037
"2018-09-01",0.0102034789514684
"2018-12-01",0.000660422152303999
"2019-03-01",0.0100327393446011
"2019-06-01",0.00849549376905708
"2019-09-01",0.00605026091331713
"2019-12-01",0.0117638628469717
"2020-03-01",-0.00296255222804406
"2020-06-01",-0.0016866645450197
"2020-09-01",0.000889178671765775
"2020-12-01",0.00335545916504372
"2021-03-01",0.0186523789634908
"2021-06-01",0.0239447544435384
"2021-09-01",0.0385844654859005
"2021-12-01",0.0589867549153602
"2022-03-01",0.0773092788550829
"2022-06-01",0.0834367303170872
"2022-09-01",0.0610363768079024
"2022-12-01",0.0293672084700346
"2023-03-01",0.0206841934437182
"2023-06-01",-0.00221710623775974
"2023-09-01",0.00786552789110023
"2023-12-01",-0.0036517315133443
"2024-03-01",0.00296637921000688
"2024-06-01",0.00625066324984613
"2024-09-01",0.000420991280296831
"2024-12-01",0.016726774798854
"2025-02-01",0.0222063834934896
