"","Luxembourg"
"1996-03-01",-0.00172949016633034
"1996-06-01",-0.000486018952916142
"1996-09-01",0.00408341813135107
"1996-12-01",0.0141551702603659
"1997-03-01",-0.000398245076394416
"1997-06-01",-0.00182214590566121
"1997-09-01",0.0107803908543278
"1997-12-01",0.0114808487445652
"1998-03-01",-0.00306776260938925
"1998-06-01",-0.00316649560523803
"1998-09-01",0.00408310172626372
"1998-12-01",0.0074768401893757
"1999-03-01",-0.000828472535093826
"1999-06-01",0.0048599913857221
"1999-09-01",0.00913941523941369
"1999-12-01",0.0181870080041779
"2000-03-01",0.00889643002978118
"2000-06-01",0.0237339646434986
"2000-09-01",0.00663223556175571
"2000-12-01",0.0195366128466631
"2001-03-01",-0.00742433077138033
"2001-06-01",0.0183448158705137
"2001-09-01",-0.00537256163862917
"2001-12-01",0.0061480104305569
"2002-03-01",0.00349161802085329
"2002-06-01",0.0129477038235241
"2002-09-01",0.00937154059482112
"2002-12-01",0.011485955513893
"2003-03-01",0.0129647696555668
"2003-06-01",-0.00981914463079892
"2003-09-01",0.0160372667564445
"2003-12-01",0.0101425576545227
"2004-03-01",0.0102354068617433
"2004-06-01",0.0156539369977065
"2004-09-01",0.00797927536060314
"2004-12-01",0.0154994848634114
"2005-03-01",0.00873217709631901
"2005-06-01",0.0129287454288627
"2005-09-01",0.025556760776645
"2005-12-01",-0.000581805744159938
"2006-03-01",0.0128919573585664
"2006-06-01",0.0142986595779445
"2006-09-01",0.00129668009973451
"2006-12-01",0.00349918728176777
"2007-03-01",0.014303279017092
"2007-06-01",0.0115950943243021
"2007-09-01",0.00399070027456747
"2007-12-01",0.0263097724782929
"2008-03-01",0.0156324069174608
"2008-06-01",0.0251535592763173
"2008-09-01",-0.00258600625999904
"2008-12-01",-0.026728966320445
"2009-03-01",0.00329513279299195
"2009-06-01",0.0156514251769588
"2009-09-01",0.00391719738364077
"2009-12-01",0.0114987547211759
"2010-03-01",0.0115473742618812
"2010-06-01",0.00352389525742538
"2010-09-01",0.00936917140441578
"2010-12-01",0.0168788329420114
"2011-03-01",0.0210047728947638
"2011-06-01",0.000847147600407874
"2011-09-01",0.00925909813353601
"2011-12-01",0.0115228377175843
"2012-03-01",0.0169084759985885
"2012-06-01",-0.00450307054316319
"2012-09-01",0.0173285404957553
"2012-12-01",0.00219615044215564
"2013-03-01",0.0100289600633679
"2013-06-01",-0.00451505512030532
"2013-09-01",0.0119247056487854
"2013-12-01",0.00352067744560584
"2014-03-01",-0.000591944604992196
"2014-06-01",0.0021950580126896
"2014-09-01",-4.28370815100014e-05
"2014-12-01",-0.0136483172262505
"2015-03-01",0.0126724703230714
"2015-06-01",0.00621506665657871
"2015-09-01",-0.00936022711642595
"2015-12-01",-0.000458514872093781
"2016-03-01",-0.00604667907205354
"2016-06-01",0.0102557935540575
"2016-09-01",0.00122344487689607
"2016-12-01",0.0155489974646456
"2017-03-01",0.00609747296162987
"2017-06-01",-0.0031572183826713
"2017-09-01",0.00791199854768778
"2017-12-01",0.0101994956354526
"2018-03-01",-0.000593895109179021
"2018-06-01",0.0129549776198106
"2018-09-01",0.0119389861601648
"2018-12-01",-0.00179380616992281
"2019-03-01",0.00733828255497009
"2019-06-01",0.00217217211365365
"2019-09-01",0.00661515223603834
"2019-12-01",0.00886887361218958
"2020-03-01",-0.0125945333042618
"2020-06-01",-0.00725331253593715
"2020-09-01",0.00669119816144979
"2020-12-01",0.0101942997423251
"2021-03-01",0.0236400815885585
"2021-06-01",0.00487172536160257
"2021-09-01",0.0147310327766795
"2021-12-01",0.0275999637736694
"2022-03-01",0.0567227515872303
"2022-06-01",0.034718841425409
"2022-09-01",-0.00405303142808319
"2022-12-01",-0.00464215224808589
"2023-03-01",0.0128845072569815
"2023-06-01",0.00753622912496114
"2023-09-01",0.0281693257470039
"2023-12-01",-0.00704956090499984
"2024-03-01",0.0155325105250233
"2024-06-01",0.00352527991975101
"2024-09-01",0.00264567403930357
"2024-12-01",0.00221446517181761
"2025-02-01",0.0142927070849088
