"","Portugal"
"1996-03-01",0.0124775415359235
"1996-06-01",0.00792323003280518
"1996-09-01",0.0119280804421698
"1996-12-01",-0.000407638215579492
"1997-03-01",0.011490658814528
"1997-06-01",-0.00182085548774
"1997-09-01",0.0111988126774646
"1997-12-01",0.00653873597913008
"1998-03-01",0.00461845101738445
"1998-06-01",0.0132026849663611
"1998-09-01",0.0058301448503603
"1998-12-01",0.0148400116158861
"1999-03-01",0.00534071005254043
"1999-06-01",0.00294585362543025
"1999-09-01",0.00402288055526181
"1999-12-01",0.0117969492081426
"2000-03-01",0.00173650062037495
"2000-06-01",0.0182523032112421
"2000-09-01",0.0139842089308096
"2000-12-01",0.0148636350604097
"2001-03-01",0.0186170155224281
"2001-06-01",0.0124929564426712
"2001-09-01",0.00908537160293247
"2001-12-01",0.013837039806121
"2002-03-01",0.010332294366167
"2002-06-01",0.0134383282135873
"2002-09-01",0.0132117634774954
"2002-12-01",0.0157909788541409
"2003-03-01",0.00720866513226021
"2003-06-01",0.00767107375468069
"2003-09-01",0.0119902904229248
"2003-12-01",0.00467650292996075
"2004-03-01",0.00504086804532617
"2004-06-01",0.0250614178294276
"2004-09-01",-0.00752898900447488
"2004-12-01",0.0106551192664732
"2005-03-01",-0.000460420945996466
"2005-06-01",0.00771038460967763
"2005-09-01",0.0192142446014458
"2005-12-01",0.00928887539700213
"2006-03-01",0.0145767669858605
"2006-06-01",0.00544542173187952
"2006-09-01",0.0107946833276523
"2006-12-01",0.00479375681381006
"2007-03-01",0.0112908000651051
"2007-06-01",0.00656727902900942
"2007-09-01",0.00546687683134588
"2007-12-01",0.0147326913406942
"2008-03-01",0.0153012333004151
"2008-06-01",0.0102206364990986
"2008-09-01",0.00219707431724105
"2008-12-01",-0.0151751566410007
"2009-03-01",-0.0057058523772468
"2009-06-01",-0.000596736399768117
"2009-09-01",-0.00219556481701644
"2009-12-01",0.00824827413472862
"2010-03-01",0.00422515621445154
"2010-06-01",0.00651001516480715
"2010-09-01",0.00906153392993585
"2010-12-01",0.0150389962506752
"2011-03-01",0.020847190692399
"2011-06-01",0.00118598225803472
"2011-09-01",0.00940499956545406
"2011-12-01",0.0155123160461931
"2012-03-01",0.0155432752373615
"2012-06-01",-0.00552882516952093
"2012-09-01",0.0110325998006795
"2012-12-01",0.00323570742203079
"2013-03-01",-0.0012483199473265
"2013-06-01",-0.000545220325894729
"2013-09-01",-0.00131804815567564
"2013-12-01",0.00584782669506476
"2014-03-01",-0.00849121849669233
"2014-06-01",0.000252758411370892
"2014-09-01",0.000974712606392271
"2014-12-01",0.00273106561645111
"2015-03-01",0.000495125319831011
"2015-06-01",0.0025422312099837
"2015-09-01",0.00196120041262652
"2015-12-01",-0.000127119943411655
"2016-03-01",0.00270295685947097
"2016-06-01",0.00360812928933173
"2016-09-01",0.00438067257208292
"2016-12-01",0.00205987086518458
"2017-03-01",0.00918587134593548
"2017-06-01",-0.00223077570285668
"2017-09-01",0.010970455369296
"2017-12-01",0.0039160375260341
"2018-03-01",-0.000227886813988493
"2018-06-01",0.0103583559177044
"2018-09-01",0.0088998639540343
"2018-12-01",-0.00893632267937388
"2019-03-01",0.000718699428183011
"2019-06-01",0.00730833714207344
"2019-09-01",-0.000465326471391215
"2019-12-01",-0.00212092396851479
"2020-03-01",-0.00362314832241866
"2020-06-01",0.00778368705095214
"2020-09-01",-0.0136751383984692
"2020-12-01",0.0071613120831202
"2021-03-01",0.00223927667833601
"2021-06-01",-0.00264177038993091
"2021-09-01",0.0101711912514092
"2021-12-01",0.0269658141126108
"2022-03-01",0.0383297299924668
"2022-06-01",0.0448391517459045
"2022-09-01",0.0199266583638593
"2022-12-01",0.028356449025087
"2023-03-01",0.0135982514622291
"2023-06-01",0.00148877807299873
"2023-09-01",0.018981643045106
"2023-12-01",-0.00662884419966013
"2024-03-01",0.0231399271823359
"2024-06-01",0.0079829376403396
"2024-09-01",0.0111694917989986
"2024-12-01",-0.00138468864823707
"2025-02-01",-0.0154918133243588
