"","Slovakia"
"1996-03-01",0.00674148293099125
"1996-06-01",0.0164320571414261
"1996-09-01",0.0207251619911546
"1996-12-01",0.0183908320136803
"1997-03-01",0.0216649512119819
"1997-06-01",0.0160887557324962
"1997-09-01",0.022409585219285
"1997-12-01",0.0225270971367866
"1998-03-01",0.0187207119592656
"1998-06-01",0.0235668744732393
"1998-09-01",0.0152583413770403
"1998-12-01",0.0233823929818805
"1999-03-01",0.027922276902671
"1999-06-01",0.0223161094124994
"1999-09-01",0.111572309806017
"1999-12-01",0.0206923966323989
"2000-03-01",0.0562294758387036
"2000-06-01",0.0158893402465775
"2000-09-01",0.0225066596770195
"2000-12-01",0.0206524403176248
"2001-03-01",0.03048282640031
"2001-06-01",0.0228761234610131
"2001-09-01",0.0153260110957728
"2001-12-01",0.0128234103609112
"2002-03-01",0.00729887338734135
"2002-06-01",0.00729583507720484
"2002-09-01",0.0112536170850054
"2002-12-01",0.0119802010151321
"2003-03-01",0.0732300055253397
"2003-06-01",0.0147769207911598
"2003-09-01",0.0209555057019809
"2003-12-01",0.01535472191514
"2004-03-01",0.0558471028010638
"2004-06-01",0.011820460460285
"2004-09-01",0.0090352388588772
"2004-12-01",0.00486823794438672
"2005-03-01",0.010722351522347
"2005-06-01",0.00964315746380411
"2005-09-01",0.0100015058040963
"2005-12-01",0.017368774078036
"2006-03-01",0.0144453908264452
"2006-06-01",0.013984078134528
"2006-09-01",0.00841342686935087
"2006-12-01",0.00648800038310973
"2007-03-01",0.00235269987543764
"2007-06-01",0.00705652772036364
"2007-09-01",0.0101977844679863
"2007-12-01",0.0157904073530236
"2008-03-01",0.0180037653169289
"2008-06-01",0.0129311822013374
"2008-09-01",0.010155164473044
"2008-12-01",0.00362296521681101
"2009-03-01",-0.00203632438220481
"2009-06-01",0.000636685673834048
"2009-09-01",0.000204473141105856
"2009-12-01",0.00406342451851303
"2010-03-01",-0.00182753623741969
"2010-06-01",0.00650871770636703
"2010-09-01",0.00841532472865815
"2010-12-01",0.00920445904689872
"2011-03-01",0.0195501839950661
"2011-06-01",0.0138167395271508
"2011-09-01",0.0125567352233365
"2011-12-01",0.013287527300272
"2012-03-01",0.0125579900684624
"2012-06-01",0.00962783928100047
"2012-09-01",0.00985524352487629
"2012-12-01",0.00751246039590855
"2013-03-01",0.00316869218163002
"2013-06-01",0.000626858870154094
"2013-09-01",7.65675372907228e-05
"2013-12-01",-0.00128919619401711
"2014-03-01",-0.00277053530719388
"2014-06-01",0.00157555266854658
"2014-09-01",0.00112763049441783
"2014-12-01",-0.000903370812231722
"2015-03-01",-0.00211010844271739
"2015-06-01",0.00112714242969061
"2015-09-01",-0.00311465466186584
"2015-12-01",-0.00232404732357438
"2016-03-01",-0.00285185742792854
"2016-06-01",-0.000547418018307807
"2016-09-01",0.000111184784518692
"2016-12-01",0.00554789232594096
"2017-03-01",0.00273395881864083
"2017-06-01",0.00705866104073322
"2017-09-01",0.00901304760382269
"2017-12-01",0.00959211909694197
"2018-03-01",0.00886362789819935
"2018-06-01",0.00771881028141221
"2018-09-01",0.00738589819776981
"2018-12-01",0.0062388907399421
"2019-03-01",0.0118950109130054
"2019-06-01",0.010942061300993
"2019-09-01",0.0103372521116066
"2019-12-01",0.00723547194677722
"2020-03-01",0.00590352183642212
"2020-06-01",0.00351269239496607
"2020-09-01",0.00374790668107138
"2020-12-01",0.00740914006250978
"2021-03-01",0.0083838340303967
"2021-06-01",0.0153857021516802
"2021-09-01",0.0241937581434486
"2021-12-01",0.0217020825358795
"2022-03-01",0.0546310254083526
"2022-06-01",0.0541630367345392
"2022-09-01",0.0423188371619156
"2022-12-01",0.0423626581727096
"2023-03-01",0.0505865766071951
"2023-06-01",0.00936028062058772
"2023-09-01",0.0107052159764212
"2023-12-01",0.0111600437691228
"2024-03-01",0.00732844766761639
"2024-06-01",0.00917635704521905
"2024-09-01",0.0133387838277454
"2024-12-01",0.0114357206862489
"2025-02-01",0.0131804226033349
