"","Spain"
"1996-03-01",0.0100439247045067
"1996-06-01",0.0100530740263925
"1996-09-01",0.0084658661207783
"1996-12-01",0.00632742298584008
"1997-03-01",0.00317759316761052
"1997-06-01",0.00346128840225185
"1997-09-01",0.0109166825679307
"1997-12-01",0.00759631593732764
"1998-03-01",0.00217632001310907
"1998-06-01",0.00431427335542344
"1998-09-01",0.00748912404759446
"1998-12-01",0.0069209033936557
"1999-03-01",0.00839748620397794
"1999-06-01",0.00761281715189964
"1999-09-01",0.0115118338110665
"1999-12-01",0.0114407706326492
"2000-03-01",0.0127971142629257
"2000-06-01",0.0128154477770568
"2000-09-01",0.0165899596048507
"2000-12-01",0.0109636708050096
"2001-03-01",0.00757466458658619
"2001-06-01",0.0108521541403438
"2001-09-01",0.00680498415017765
"2001-12-01",0.00985658160079979
"2002-03-01",0.0153486176076085
"2002-06-01",0.0131119374308271
"2002-09-01",0.00840282297717735
"2002-12-01",0.0134129253135524
"2003-03-01",0.0117643358513328
"2003-06-01",0.00474827092428733
"2003-09-01",0.00769342669947975
"2003-12-01",0.0102714680855751
"2004-03-01",0.00995450463781272
"2004-06-01",0.014906871723143
"2004-09-01",0.0112720237092476
"2004-12-01",0.00880482022452378
"2005-03-01",0.00922855558045941
"2005-06-01",0.0137264483872401
"2005-09-01",0.0150728958186213
"2005-12-01",0.0120588218920862
"2006-03-01",0.0118596103696478
"2006-06-01",0.0119443007680819
"2006-09-01",0.00509480655280776
"2006-12-01",0.00591535408541841
"2007-03-01",0.0100626931396277
"2007-06-01",0.0110154840263183
"2007-09-01",0.0129076945033395
"2007-12-01",0.020772085300836
"2008-03-01",0.0178720505076746
"2008-06-01",0.0153000029260635
"2008-09-01",0.00116005621139837
"2008-12-01",-0.0115849450586736
"2009-03-01",-0.00668939819415061
"2009-06-01",0.00440630028242609
"2009-09-01",0.00527064986897437
"2009-12-01",0.0109122608637761
"2010-03-01",0.0113460565789427
"2010-06-01",0.0042779576338985
"2010-09-01",0.00710167876464931
"2010-12-01",0.0155720697826284
"2011-03-01",0.0150470908979014
"2011-06-01",0.00451704274320771
"2011-09-01",0.00433153094467094
"2011-12-01",0.00745750138403603
"2012-03-01",0.00610397684441015
"2012-06-01",0.00863712047886761
"2012-09-01",0.0182683927917101
"2012-12-01",0.00908160859427719
"2013-03-01",0.0015745147878506
"2013-06-01",-0.00057852217362302
"2013-09-01",0.00198808467442201
"2013-12-01",-7.5078288938892e-05
"2014-03-01",-0.00238367212169623
"2014-06-01",-0.000231267585092359
"2014-09-01",-0.0017073865866314
"2014-12-01",-0.00758797234247374
"2015-03-01",0.000646391534387542
"2015-06-01",0.00319049412051197
"2015-09-01",-0.00552249016460771
"2015-12-01",-0.00500190637193345
"2016-03-01",-0.00304485843831087
"2016-06-01",0.00274500147078885
"2016-09-01",0.00668964940451785
"2016-12-01",0.0114043250024861
"2017-03-01",0.00517468526544996
"2017-06-01",0.00147296187591046
"2017-09-01",0.00518109569975061
"2017-12-01",0.00640241131146281
"2018-03-01",0.00571477152342328
"2018-06-01",0.0100428063365505
"2018-09-01",0.00451232456403404
"2018-12-01",-0.00157430919022405
"2019-03-01",0.00173614138371689
"2019-06-01",0.00339923037475278
"2019-09-01",0.00232812513628568
"2019-12-01",0.00115490326345776
"2020-03-01",-0.0040547469080282
"2020-06-01",-0.00305732776300458
"2020-09-01",-0.00243066786768785
"2020-12-01",0.00467234294534601
"2021-03-01",0.0141360183453654
"2021-06-01",0.0157929090885196
"2021-09-01",0.0205252086930217
"2021-12-01",0.0271619149730544
"2022-03-01",0.0635886879540269
"2022-06-01",0.014181772671943
"2022-09-01",0.00457135895381002
"2022-12-01",0.00200308192500642
"2023-03-01",0.0131808916959581
"2023-06-01",0.0129404446688234
"2023-09-01",0.0130116716616391
"2023-12-01",0.0072704038222352
"2024-03-01",0.0138915792705215
"2024-06-01",0.00881383066962577
"2024-09-01",0.00168896326189228
"2024-12-01",0.00649673579150173
"2025-02-01",0.00660780566168112
