"","shadow","shadow_d"
"2004-09-01",0.00676985237270666,NA
"2004-12-01",0.0212639242266566,0.0144940718539499
"2005-03-01",0.0200627600901455,-0.00120116413651106
"2005-06-01",0.0208382728233509,0.000775512733205419
"2005-09-01",0.0206645150527678,-0.000173757770583149
"2005-12-01",0.0226597348874436,0.00199521983467577
"2006-03-01",0.0237574995427274,0.00109776465528388
"2006-06-01",0.0270240793071559,0.00326657976442846
"2006-09-01",0.0318534770027126,0.00482939769555668
"2006-12-01",0.0343166224450515,0.00246314544233894
"2007-03-01",0.0363437754346811,0.00202715298962963
"2007-06-01",0.0383718915056419,0.00202811607096076
"2007-09-01",0.0386210716055344,0.000249180099892499
"2007-12-01",0.0389868222984362,0.00036575069290179
"2008-03-01",0.0398064531080267,0.000819630809590466
"2008-06-01",0.0407678734289854,0.000961420320958695
"2008-09-01",0.040935008934492,0.000167135505506621
"2008-12-01",0.025987896797901,-0.0149471121365909
"2009-03-01",0.00443316429398832,-0.0215547325039127
"2009-06-01",0.00237598410998641,-0.00205718018400192
"2009-09-01",-0.00538623292977203,-0.00776221703975843
"2009-12-01",0.000690351178573412,0.00607658410834544
"2010-03-01",0.00143486384527303,0.000744512666699615
"2010-06-01",0.00259917504942808,0.00116431120415506
"2010-09-01",0.00660383870318992,0.00400466365376184
"2010-12-01",0.00748447221487547,0.000880633511685547
"2011-03-01",0.00675433272622805,-0.000730139488647419
"2011-06-01",0.010761035134083,0.00400670240785495
"2011-09-01",0.00876823269223537,-0.00199280244184763
"2011-12-01",-0.00030597658026521,-0.00907420927250058
"2012-03-01",-0.00326677378174178,-0.00296079720147657
"2012-06-01",-0.00666365798397228,-0.0033968842022305
"2012-09-01",-0.0101000409326449,-0.00343638294867266
"2012-12-01",-0.0100000987983032,9.99421343417239e-05
"2013-03-01",-0.00680791480027121,0.00319218399803201
"2013-06-01",-0.00113022066919288,0.00567769413107833
"2013-09-01",-0.00350334711708389,-0.00237312644789101
"2013-12-01",-0.00262286655597455,0.000880480561109342
"2014-03-01",-0.00595997130676651,-0.00333710475079196
"2014-06-01",-0.00806319941811229,-0.00210322811134578
"2014-09-01",-0.0120971579035661,-0.00403395848545385
"2014-12-01",-0.0189544762902983,-0.0068573183867322
"2015-03-01",-0.0259653124332463,-0.00701083614294795
"2015-06-01",-0.022308663556829,0.00365664887641726
"2015-09-01",-0.0250826406411896,-0.00277397708436056
"2015-12-01",-0.02717181042012,-0.00208916977893037
"2016-03-01",-0.0355408888903913,-0.00836907847027135
"2016-06-01",-0.039241280588909,-0.00370039169851766
"2016-09-01",-0.0454543005837128,-0.00621301999480384
"2016-12-01",-0.0410945147678227,0.00435978581589014
"2017-03-01",-0.0510776838353443,-0.00998316906752161
"2017-06-01",-0.0532413859892978,-0.00216370215395356
"2017-09-01",-0.052933975058886,0.000307410930411867
"2017-12-01",-0.0512233042419812,0.00171067081690479
"2018-03-01",-0.0511419334698401,8.13707721410983e-05
"2018-06-01",-0.0602422918943922,-0.00910035842455215
"2018-09-01",-0.063045816220892,-0.00280352432649977
"2018-12-01",-0.0618822766276708,0.00116353959322124
"2019-03-01",-0.0641161815444278,-0.00223390491675701
"2019-06-01",-0.0678629461076709,-0.00374676456324308
"2019-09-01",-0.0762908109353531,-0.00842786482768221
"2019-12-01",-0.069999924990696,0.0062908859446571
"2020-03-01",-0.0708403401630011,-0.000840415172305153
"2020-06-01",-0.0725891910895926,-0.00174885092659149
"2020-09-01",-0.0744662160326707,-0.00187702494307807
"2020-12-01",-0.0773881862708619,-0.00292197023819118
"2021-03-01",-0.0665758029997603,0.0108123832711016
"2021-06-01",-0.0607687503070233,0.00580705269273696
"2021-09-01",-0.063748758695061,-0.00298000838803769
"2021-12-01",-0.0513362020829385,0.0124125566121225
"2022-03-01",-0.0481011607519589,0.00323504133097963
"2022-06-01",-0.025330683758698,0.022770476993261
"2022-08-01",-0.00770085517962305,0.0176298285790749
